Name,Height (ft),Capacity (MW),Province/State(s),Latitude,Longitude,Year of completion,Stream
Wilson Reservoir Dam (Wilson Creek),34,0,Nevada,41.67000,-116.340000,,South Fork Owyhee River
Bull Run Dam (Bull Run Creek),69,0,Nevada,41.64000,-116.150000,,South Fork Owyhee River
Dry Creek Dam (Indian Creek),70,0,Nevada,?41.79000,-116.230000,,South Fork Owyhee River
Rawhide Reservoir Dam (Indian Creek),33,0,Nevada,41.71000,-116.340000,,South Fork Owyhee River
Sheep Creek Dam (Sheep Creek),29,0,Nevada,?41.86000,-116.270000,1966,South Fork Owyhee River
Chimney Creek Dam (Fourmile Creek),20,0,Nevada,41.71000,-116.540000,,South Fork Owyhee River
Unity Dam,82,proposed 0.8[114],Oregon,43.50000,-118.180000,1938,Burnt River
Cottage Grove Dam,95,0,Oregon,43.71611,-123.050830,1942[203],Coast Fork Willamette River
Dorena Dam (Row River),145,7.51[204],Oregon,43.78000,-122.950000,1949[203],Coast Fork Willamette River
Crane Prairie Dam,36,0,Oregon,43.75500,-121.785000,1940[172],Deschutes River
Wickiup Dam,100,0,Oregon,43.69528,-121.703890,1949[172],Deschutes River
Round Butte Dam,440,247.12,Oregon,44.60000,-121.270000,1964,Deschutes River
Pelton Dam,204,100.8,Oregon,?44.69000,-121.230000,1957,Deschutes River
Pelton Reregulating Dam,88,18.9,Oregon,?44.72000,-121.240000,1958,Deschutes River
Warm Springs Dam,106,proposed 2.7[74],Oregon,?43.58528,-118.208610,1919,Malheur River
Agency Valley Dam (North Fork Malheur River),110,proposed 2.0[76],Oregon,43.91139,-118.154170,1935,Malheur River
Harper Diversion Dam,12,0,Oregon,43.82472,-117.642220,1930,Malheur River
Bully Creek Dam (Bully Creek),121,0,Oregon,44.01528,-117.396670,1963,Malheur River
Bully Creek Diversion Dam (Bully Creek),4,0,Oregon,44.00306,-117.384170,1964,Malheur River
Willow Creek Reservoir #3 Dam (Willow Creek),110,0,Oregon,44.35306,-117.671110,1944,Malheur River
Carmen Diversion Dam,17,0[195],Oregon,44.33861,122.003060,1963[196],McKenzie River
Trail Bridge Dam,90,10[195],Oregon,44.27333,-122.050560,1963[196],McKenzie River
Smith Dam (Smith River),250,104.5[195],Oregon,44.00000,-122.110000,1963[196],McKenzie River
Cougar Dam (South Fork),425,25,Oregon,44.12889,-122.241670,1963,McKenzie River
Blue River Dam (Blue River),270,0,Oregon,44.17306,-122.329720,1969,McKenzie River
Leaburg Dam,20,15.9[201],Oregon,44.13750,-122.611940,1929[201],McKenzie River
Walterville Dam,24,9[201],Oregon,44.06000,-122.830000,1911[201],McKenzie River
Hills Creek Dam,304,30[191],Oregon,43.70917,-122.423890,1961[191],Middle Fork Willamette River
Lookout Point Dam,276,150[192],Oregon,43.91333,-122.752500,1954[192],Middle Fork Willamette River
Fall Creek Dam,180,0,Oregon,43.91361,-122.756940,1966,Middle Fork Willamette River
Dexter Dam,93,15[192],Oregon,43.92278,-122.806390,1954[192],Middle Fork Willamette River
Antelope Reservoir Dam (Antelope Creek (Jordan Creek)),60,0,Oregon,42.90000,-117.230000,1923,Owyhee River
Owyhee Dam,417,"5[n 14],8[n 15],2[n 16]",Oregon,43.64194,-117.242500,1932[65],Owyhee River
Big Cliff Dam (North Santiam),191,18,Oregon,?44.75083,-122.283060,1953,Santiam River
Detroit Dam(North Santiam,463,100,Oregon,?44.72167,-122.250280,1953,Santiam River
Foster Dam (South Santiam),126,20,Oregon,?44.41528,-122.670280,1968,Santiam River
Green Peter Dam (South Santiam),327,80,Oregon,?44.45000,-122.549170,1968,Santiam River
Wallowa Lake Dam,40,0,Oregon,?45.33000,-117.220000,1931,Wallowa River
Willamette Falls Dam,20,15.18[188],Oregon,?45.35306,-122.617780,1888[18],Willamette River
Mason Dam,173,proposed 3.4[82],Oregon,?44.67000,-117.990000,1968,Powder River
Thief Valley Dam,73,0,Oregon,45.01000,-117.770000,1932,Powder River
Bumping Lake Dam,60,0[178],Washington,46.87111,-121.299440,1910[177],Bumping River
Lake Chelan Dam,40,59.2[226],Washington,47.83444,-120.012500,1892?1903 / 1927[n 24],Chelan River
Cle Elum Dam,165,0[178],Washington,47.24694,-121.073060,1933[177],Cle Elum River
Grand Coulee Dam,550,"6,809[9]",Washington,47.95722,-118.977500,1941 / 1974 [n 1],Main Stem Columbia River
Chief Joseph Dam,236,"2,620[11]",Washington,47.99500,-119.638610,1955,Main Stem Columbia River
Wells Dam,160,840[13],Washington,47.94722,-119.864170,1967,Main Stem Columbia River
Rocky Reach Dam,130,"1,287[15]",Washington,47.53306,-120.294720,1961,Main Stem Columbia River
Rock Island Dam,135,660[17],Washington,?47.34250,-120.094440,1933[18],Main Stem Columbia River
Wanapum Dam,185,"1,092[19]",Washington,46.87778,-119.970280,1963,Main Stem Columbia River
Priest Rapids Dam,178,955.6[21],Washington,46.64417,-119.910000,1961,Main Stem Columbia River
Cowlitz Falls Dam,140,70[215],Washington,46.46639,-122.109170,1994[215],Cowlitz River
Mossyrock Dam,606,300[216],Washington,46.53444,-122.424720,1968[216],Cowlitz River
Mayfield Dam,250,162[217],Washington,46.50278,-122.588330,1963[217],Cowlitz River
Kachess Dam,115,0[178],Washington,47.26472,-121.202500,1912[177],Kachess River
Swift Dam,512,240,Washington,46.08000,-122.210000,1958,Lewis River
Swift No. 2 Dam,83,70,Washington,46.06278,-122.197780,1959[220],Lewis River
Yale Dam,323,134,Washington,45.98000,-122.340000,1953,Lewis River
Merwin Dam,313,136,Washington,45.99000,-122.480000,1931,Lewis River
Box Canyon Dam,62,90[160],Washington,48.78028,-117.412780,1956[161],Pend Oreille River/Clark Fork River
Boundary Dam,340,"1,040[154]",Washington,48.98694,-117.348060,1967,Pend Oreille River/Clark Fork River
Upper Falls Dam,35,10[207],Washington,47.66278,-117.415280,1922[207],Spokane River
Monroe Street Dam,24,15[208],Washington,47.66167,-117.425280,1890[208],Spokane River
Nine Mile Dam,58,26[209],Washington,47.77500,-117.543890,1908[209],Spokane River
Long Lake Dam,213,71[210],Washington,47.83722,-117.839720,1915[210],Spokane River
Little Falls Dam,57,36[212],Washington,47.83250,-117.917780,1911[213],Spokane River
Clear Creek Dam (North Fork Tieton),83,0[178],Washington,46.62778,-121.270830,1915[177],Tieton River
Tieton Dam,319,0[178],Washington,46.65722,-121.128060,1925[177],Tieton River
Tumwater Canyon Dam,23,0,Washington,47.61639,-120.722780,1909,Wenatchee River
Keechelus Dam,128,0[178],Washington,47.32222,-121.339440,1917[177],Yakima River
Easton Diversion Dam,66,0[178],Washington,47.24167,-121.188060,1929[180],Yakima River
Roza Diversion Dam,67,12,Washington,46.74889,-120.465560,1939[182],Yakima River
Wapato Dam,19,0,Washington,46.52417,-120.476940,,Yakima River
Sunnyside Dam,8,0[178],Washington,46.49778,-120.444720,1907[184],Yakima River
Prosser Dam,9,0,Washington,46.21250,-119.772780,1904[185],Yakima River
Wannawish Dam,6.6,0,Washington,46.37861,-119.417220,1892[186],Yakima River
Lower Granite Dam,181,932[50],Washington,46.66111,-117.428060,1975 / 1987 [n 11],Snake River
Little Goose Dam,253,932[53],Washington,46.58694,-118.027780,1970,Snake River
Lower Monumental Dam,152,930[55],Washington,46.56333,-118.538890,1969,Snake River
Ice Harbor Dam,213,693[57],Washington,46.24944,-118.879720,1961 / 1976 [n 12],Snake River
McNary Dam,183,"1,133[23]",Washington /  ÿOregon border,45.93528,-119.298060,1954,Main Stem Columbia River
John Day Dam,184,"2,485[24]",Washington /  ÿOregon border,45.71583,-120.693610,1971,Main Stem Columbia River
The Dalles Dam,260,"2,038[25]",Washington /  ÿOregon border,45.61389,-121.133890,1957,Main Stem Columbia River
Bonneville Dam,197,"1,190[27]",Washington /  ÿOregon border,45.64500,-121.940830,1937 / 1981 [n 2],Main Stem Columbia River
Grassy Lake Dam (Grassy Creek),118,0,Wyoming,44.13000,-110.810000,1939[93],Fall River
Jackson Lake Dam,65.5,0,Wyoming,43.85833,-110.590000,1911 / 1916 / 1989[n 3],Snake River
